employee_id,date,month,quarter,year,is_holiday_season,is_q4,sales,training_hours,performance_score,deals_closed,customer_meetings,department,region,experience_years,base_performance,territory_size,market_potential,competition_level,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_6,sales_lag_12,sales_rolling_mean_3,sales_rolling_std_3,sales_rolling_max_3,sales_rolling_mean_6,sales_rolling_std_6,sales_rolling_max_6,sales_rolling_mean_12,sales_rolling_std_12,sales_rolling_max_12,month_sin,month_cos,quarter_sin,quarter_cos,time_index,employee_avg_sales,sales_vs_avg,employee_cv,exp_performance,market_territory,training_impact
EMP0001,2022-01-01,1,1,2022,0,0,53018.28660490247,1,71.48632755819949,3,28,West,Region_E,15,1.185595153449124,238,1.0968501579464869,0.6120829269975138,53018.28660490247,53018.28660490247,53018.28660490247,53018.28660490247,53018.28660490247,53018.28660490247,3436.2084029703124,53018.28660490247,53018.28660490247,3436.2084029703124,53018.28660490247,53018.28660490247,3436.2084029703124,53018.28660490247,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0,53018.28660490247,0.0,0.06792332443099382,1072.2949133729924,261.0503375912639,0.7148632755819949
EMP0001,2022-01-31,1,1,2022,0,0,48158.75407828146,0,72.84324342867917,8,33,West,Region_E,15,1.185595153449124,238,1.0968501579464869,0.6120829269975138,53018.28660490247,53018.28660490247,53018.28660490247,53018.28660490247,53018.28660490247,50588.52034159197,3436.2084029703124,53018.28660490247,50588.52034159197,3436.2084029703124,53018.28660490247,50588.52034159197,3436.2084029703124,53018.28660490247,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1,50588.52034159197,-2429.7662633105065,0.06792332443099382,1092.6486514301876,261.0503375912639,0.0
EMP0001,2022-03-02,3,1,2022,0,0,74238.75927009371,0,80.85347927025526,9,61,West,Region_E,15,1.185595153449124,238,1.0968501579464869,0.6120829269975138,48158.75407828146,53018.28660490247,53018.28660490247,53018.28660490247,53018.28660490247,58471.93331775921,13868.971286751168,74238.75927009371,58471.93331775921,13868.971286751168,74238.75927009371,58471.93331775921,13868.971286751168,74238.75927009371,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,2,58471.93331775921,15766.825952334497,0.23718617315439053,1212.802189053829,261.0503375912639,0.0
EMP0001,2022-04-01,4,2,2022,0,0,49864.25406630713,0,78.32717288002122,4,46,West,Region_E,15,1.185595153449124,238,1.0968501579464869,0.6120829269975138,74238.75927009371,48158.75407828146,53018.28660490247,53018.28660490247,53018.28660490247,57420.58913822743,14589.904642957337,74238.75927009371,56320.01350489619,12114.259307077833,74238.75927009371,56320.01350489619,12114.259307077833,74238.75927009371,0.8660254037844387,-0.49999999999999983,1.2246467991473532e-16,-1.0,3,56320.01350489619,-6455.7594385890625,0.2150930630185605,1174.9075932003184,261.0503375912639,0.0
EMP0001,2022-05-01,5,2,2022,0,0,82442.84655122664,0,83.42032777977941,7,84,West,Region_E,15,1.185595153449124,238,1.0968501579464869,0.6120829269975138,49864.25406630713,74238.75927009371,48158.75407828146,53018.28660490247,53018.28660490247,68848.61996254249,16944.95126551623,82442.84655122664,61544.58011416228,15701.813277218409,82442.84655122664,61544.58011416228,15701.813277218409,82442.84655122664,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,4,61544.58011416228,20898.26643706436,0.25512495370248783,1251.3049166966912,261.0503375912639,0.0
EMP0001,2022-05-31,5,2,2022,0,0,68513.64056302224,0,71.79093994170711,7,43,West,Region_E,15,1.185595153449124,238,1.0968501579464869,0.6120829269975138,82442.84655122664,49864.25406630713,74238.75927009371,53018.28660490247,53018.28660490247,66940.24706018534,16346.187549722123,82442.84655122664,62706.09018897227,14329.41680869869,82442.84655122664,62706.09018897227,14329.41680869869,82442.84655122664,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,5,62706.09018897227,5807.55037404997,0.22851350246863592,1076.8640991256066,261.0503375912639,0.0
EMP0001,2022-06-30,6,2,2022,0,0,72276.68003106234,32,76.46303858621854,9,59,West,Region_E,15,1.185595153449124,238,1.0968501579464869,0.6120829269975138,68513.64056302224,82442.84655122664,49864.25406630713,53018.28660490247,53018.28660490247,74411.05571510374,7205.717489322453,82442.84655122664,65915.82242666559,13875.08051005801,82442.84655122664,64073.31730927085,13571.85783354193,82442.84655122664,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,6,64073.31730927085,8203.362721791484,0.21181431817734295,1146.9455787932782,261.0503375912639,24.468172347589935
EMP0001,2022-07-30,7,3,2022,0,0,66943.55523209523,0,84.42185778165127,9,68,West,Region_E,15,1.185595153449124,238,1.0968501579464869,0.6120829269975138,72276.68003106234,68513.64056302224,82442.84655122664,48158.75407828146,53018.28660490247,69244.62527539326,2740.6767444610373,72276.68003106234,69046.62261896789,10858.366314767693,82442.84655122664,64432.0970496239,12606.01009065663,82442.84655122664,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,7,64432.0970496239,2511.458182471324,0.19564495062138584,1266.3278667247691,261.0503375912639,0.0
EMP0001,2022-08-29,8,3,2022,0,0,54239.33986866037,0,74.43662850843035,9,45,West,Region_E,15,1.185595153449124,238,1.0968501579464869,0.6120829269975138,66943.55523209523,72276.68003106234,68513.64056302224,74238.75927009371,53018.28660490247,64486.525043939306,9266.291493509249,72276.68003106234,65713.38605206233,11959.558006099229,82442.84655122664,63299.568473961284,12271.55829050456,82442.84655122664,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,8,63299.568473961284,-9060.228605300916,0.19386173910195562,1116.549427626455,261.0503375912639,0.0
EMP0001,2022-09-28,9,3,2022,0,0,69424.16553189143,0,73.65543951618326,6,26,West,Region_E,15,1.185595153449124,238,1.0968501579464869,0.6120829269975138,54239.33986866037,66943.55523209523,72276.68003106234,49864.25406630713,53018.28660490247,63535.68687754901,8145.852174396385,69424.16553189143,68973.37129632638,9099.066055319929,82442.84655122664,63912.02817975429,11730.723020379792,82442.84655122664,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,9,63912.02817975429,5512.137352137135,0.18354196874207454,1104.8315927427489,261.0503375912639,0.0
